48	112.47747539	-112.47747539
1743	59.92073907	-59.92073907
144	82.64251960	-82.64251960
429	14.33264569	-14.33264569
285	72.69753434	-72.69753434
59	162.20240170	-162.20240170
90	90.31280133	-90.31280133
191	8.05513013	-8.05513013
15	110.57417616	-110.57417616
36	102.53249012	-102.53249012
500	67.72504171	-67.72504171
957	62.75254907	-62.75254907
15	115.63951987	-115.63951987
6802	34.59402053	-34.59402053
26	107.50498275	-107.50498275
5	177.11987959	-177.11987959
3467	47.83507118	-47.83507118
31	127.39495328	-127.39495328
441	70.05142649	-70.05142649
165	85.24745762	-85.24745762
3915	42.86257855	-42.86257855
45	157.22990906	-157.22990906
208	77.67002697	-77.67002697
853	54.85539536	-54.85539536
100978	29.52867682	-29.52867682
827	13.02762276	-13.02762276
35851	24.46333311	-24.46333311
1510	49.79005165	-49.79005165
33	132.36744591	-132.36744591
52	122.42246065	-122.42246065
33	117.44996802	-117.44996802
31	105.50883245	-105.50883245
10	130.83555100	-130.83555100
5504	37.89008592	-37.89008592
196	80.18211391	-80.18211391
62	92.58750486	-92.58750486
12338	27.94510066	-27.94510066
3142	44.72470795	-44.72470795
102	87.61501223	-87.61501223
1946	57.78005644	-57.78005644
29	97.55999749	-97.55999749
6781	39.65936424	-39.65936424
78	9.26730198	-9.26730198
90	95.37814504	-95.37814504
29	137.33993854	-137.33993854
8808	18.00011540	-18.00011540
15819	22.97260803	-22.97260803
24	142.31243117	-142.31243117
7494	32.91759329	-32.91759329
55	152.25741643	-152.25741643
43	100.44348875	-100.44348875
5	125.77020729	-125.77020729
3133	52.80756381	-52.80756381
655	64.98608278	-64.98608278
45	147.28492380	-147.28492380
109	167.17489433	-167.17489433
5	182.09237222	-182.09237222
5	187.06486485	-187.06486485
64	172.14738696	-172.14738696
837	19.39798940	-19.39798940
300	75.11677020	-75.11677020
